AO-ID_ID-OA,DFRP-property-nbr_No-bien-RBIF,Property-name_Nom-du-bien_eng,Property-name_Nom-du-bien_fra,DFRP-structure-nbr_No-structure-RBIF,Structure-name_Nom-du-structure_eng,Structure-name_Nom-du-structure_fra,Interest-type_Type-de-propriete_eng,Interest-type_Type-de-propriete_fra,Year-built_Annee-de-construction,Heritage-code_Code-du-patrimoine,Heritage-designation_Designation-patrimoniale_eng,Heritage-designation_Designation-patrimoniale_fra,Region_eng,Region_fra,Structure-address_Adresse-du-structure_eng,Structure-address_Adresse-du-structure_fra,City_Ville,Province-code_Code-de-province,Province-territory_Province-territoire_eng,Province-territory_Province-territoire_fra,Postal-code_Code-postal,Assessment-fscl-yr_Ex-evaluation,Compliance-standard-applied_Norme-de-conformite-appliquee,Accessibility-score_Score-accessibilite
P200013-101-20000327,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",003710,"GC Building - Sydney","Édifice GC - Sydney",Crown-owned,"Propriété de l'État",1962,500,"Not designated","Non désigné",ATL,ATL,"49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",2020-2021,B651-18,68
P200015-101-20000331,03711,"GC Site - Sydney","Site GC - Sydney",003711,"GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney",Crown-owned,"Propriété de l'État",1957,500,"Not designated","Non désigné",ATL,ATL,"308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",2020-2021,B651-18,69
P200018-101-20000336,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",103056,"GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney",Crown-owned,"Propriété de l'État",1959,100,"Not applicable","N'est pas applicable",ATL,ATL,"196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",2023-2024,B651-18,79
P200019-101-20000337,03710,"GC Site - Sydney Campus","Site GC - Campus de Sydney",103057,"GC Building - Sydney Science Building","Édifice GC - Édifice des Sciences de Sydney",Crown-owned,"Propriété de l'État",1966,300,Recognized,Reconnu,ATL,ATL,"210 George Street","210, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",2020-2021,B651-18,77
P200021-101-20000340,03207,"Enos Collins Site","Site Enos-Collins",003207,"Enos Collins Building","Édifice Enos-Collins",Crown-owned,"Propriété de l'État",1975,400,Pending,"En attente",ATL,ATL,"38-40 Havelock Street","38-40, rue Havelock",Amherst,NS,"Nova Scotia",Nouvelle-Écosse,"B4H 4C3",2019-2020,B651-18,80
P200027-101-20000353,18665,"GC Site - Yarmouth","Site GC - Yarmouth",018665,"Post Office Yarmouth","Bureau de poste Yarmouth",Crown-owned,"Propriété de l'État",1954,100,"Not applicable","N'est pas applicable",ATL,ATL,"15 Willow Street","15, rue Willow",Yarmouth,NS,"Nova Scotia",Nouvelle-Écosse,"B5A 1T0",2023-2024,B651-18,65
P200030-101-20000358,00373,"GC Site - Pleasantville","Site GC - Pleasantville",000373,"GC Building - Pleasantville - Building 223","Édifice GC - Pleasantville - Édifice 223",Crown-owned,"Propriété de l'État",1956,300,Recognized,Reconnu,ATL,ATL,"99 Churchill Avenue","99, avenue Churchill","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1A 1N3",2019-2020,B651-18,74
P200044-101-20000372,22403,"GC Site - St. John's","Site GC - St. John's",022403,"GC Building - Tax Centre","Édifice GC - Centre fiscal",Crown-owned,"Propriété de l'État",1980,100,"Not applicable","N'est pas applicable",ATL,ATL,"290 Empire Avenue","290, avenue Empire","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 6L9",2023-2024,B651-18,71
P200052-101-20000382,00371,"Sir Humphrey Gilbert Site","Site Sir Humphrey Gilbert",000371,"Sir Humphrey Gilbert Building","Édifice Sir Humphrey Gilbert",Crown-owned,"Propriété de l'État",1959,400,Pending,"En attente",ATL,ATL,"165 Duckworth Street","165, rue Duckworth","St. John's",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1C 1G4",2019-2020,B651-18,75
P200102-101-20000441,04761,"GC Site - Grand Falls","Site GC - Grand-Sault",004761,"GC Building - Grand Falls","Édifice GC - Grand-Sault",Crown-owned,"Propriété de l'État",1959,100,"Not applicable","N'est pas applicable",ATL,ATL,"373-377 Broadway Boulevard","373-377, boulevard Broadway","Grand Falls",NB,"New Brunswick",Nouveau-Brunswick,"E3Z 2K3",2023-2024,B651-18,66
P200108-101-20000453,03892,"GC Site - Saint John","Site GC - Saint John",003892,"GC Building - Postal Station 'A' and Annex","Édifice GC - Succursale postale 'A' et Annexe",Crown-owned,"Propriété de l'État",1915,300,Recognized,Reconnu,ATL,ATL,"126 Prince William Street","126, rue Prince William","Saint John",NB,"New Brunswick",Nouveau-Brunswick,"E2L 2B6",2021-2022,B651-18,73
P200111-101-20000458,04075,"GC Site - St. Stephen","Site GC - St. Stephen",004075,"GC Building - St. Stephen","Édifice GC - St. Stephen",Crown-owned,"Propriété de l'État",1952,500,"Not designated","Non désigné",ATL,ATL,"93 Milltown Boulevard","93, boulevard Milltown","St. Stephen",NB,"New Brunswick",Nouveau-Brunswick,"E3L 1G5",2022-2023,B651-18,67
P200119-101-20000469,04560,"GC Site - Miramichi","Site GC - Miramichi",004560,"GC Building - Miramichi","Édifice GC - Miramichi",Crown-owned,"Propriété de l'État",1957,100,"Not applicable","N'est pas applicable",ATL,ATL,"171 Duke Street","171, rue Duke",Miramichi,NB,"New Brunswick",Nouveau-Brunswick,"E1N 1H9",2023-2024,B651-18,72
P200122-101-20000474,04934,"GC Site - Caraquet","Site GC - Caraquet",004934,"GC Building - Caraquet","Édifice GC - Caraquet",Crown-owned,"Propriété de l'État",1974,400,Pending,"En attente",ATL,ATL,"50 St. Pierre Boulevard West","50, boulevard St. Pierre Ouest",Caraquet,NB,"New Brunswick",Nouveau-Brunswick,"E1W 1B6",2021-2022,B651-18,73
P200123-101-20000476,04378,"Dominion Public Site","Site Dominion Public",004378,"Dominion Public Building","Édifice public Dominion",Crown-owned,"Propriété de l'État",1936,300,Recognized,Reconnu,ATL,ATL,"1045 Main Street","1045, rue Main",Moncton,NB,"New Brunswick",Nouveau-Brunswick,"E1C 1H2",2020-2021,B651-18,73
P200144-101-20000500,04881,"Nicholas Denys Site","Site Nicholas Denys",004881,"Nicholas Denys Building","Édifice Nicholas Denys",Crown-owned,"Propriété de l'État",1979,400,Pending,"En attente",ATL,ATL,"120 Harbourview Boulevard","120, boulevard Harbourview",Bathurst,NB,"New Brunswick",Nouveau-Brunswick,"E2A 5B9",2019-2020,B651-18,69
P200145-101-20000502,22404,"GC Pension Centre Site","Site Centre des pensions du GC",022404,"GC Pension Centre Building","Centre des pensions du GC",Crown-owned,"Propriété de l'État",1982,400,Pending,"En attente",ATL,ATL,"10 Weldon Street","10, rue Weldon",Shediac,NB,"New Brunswick",Nouveau-Brunswick,"E4P 2X7",2019-2020,B651-18,78
P200146-101-20000505,34618,"GC Site - Moncton","Site GC - Moncton",034618,"GC Building - 310 Baig Boulevard","Édifice GC - 310, boulevard Baig",Crown-owned,"Propriété de l'État",1975,400,Pending,"En attente",ATL,ATL,"310 Baig Boulevard","310, boulevard Baig",Moncton,NB,"New Brunswick",Nouveau-Brunswick,"E1E 1C8",2020-2021,B651-18,76
P200153-101-20000522,22039,"Daniel J. MacDonald Site","Site Daniel-J.-MacDonald",022039,"Daniel J MacDonald Building","Édifice Daniel-J.-MacDonald",Crown-owned,"Propriété de l'État",1984,400,Pending,"En attente",ATL,ATL,"161 Grafton Street","161, rue Grafton",Charlottetown,PE,"Prince Edward Island",Île-du-Prince-Édouard,"C1A 1L1",2019-2020,B651-18,68
P200163-101-20000535,00360,"GC Site - Mount Pearl","Site GC - Mount Pearl",000360,"GC Building - Mount Pearl","Édifice GC - Mount Pearl",Crown-owned,"Propriété de l'État",1965,500,"Not designated","Non désigné",ATL,ATL,"6 Bruce Street","6, rue Bruce","Mount Pearl",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A1N 4T3",2020-2021,B651-18,76
P200165-101-20000539,55814,"GC Site - Shippagan","Site GC - Shippagan",055814,"GC Building - Shippagan","Édifice GC - Shippagan",Crown-owned,"Propriété de l'État",1990-1999,400,Pending,"En attente",ATL,ATL,"196 Gauthier Boulevard","196, boulevard Gauthier",Shippagan,NB,"New Brunswick",Nouveau-Brunswick,"E8S 1P2",2022-2023,B651-18,48
P200169-101-20000544,55710,"Joseph R. Smallwood Site","Site Joseph R. Smallwood",055710,"Joseph R. Smallwood Building","Édifice Joseph R. Smallwood",Crown-owned,"Propriété de l'État",1994,400,Pending,"En attente",ATL,ATL,"1 Regent Square","1, Regent Square","Corner Brook",NL,"Newfoundland and Labrador",Terre-Neuve-et-Labrador,"A2H 7K6",2021-2022,B651-18,89
