Fiscal-year_Exercice-financier,AO_ID,DFRP-property-No_No-bien-immobilier-RBIF,DFRP-structure-No_No-structure-RBIF,Property-name_Nom-du-bien-ENG,Property-name_Nom-du-bien-FRA,Structure-name_Nom-du-structure-ENG,Structure-name_Nom-du-structure-FRA,Structure-address_Adresse-du-structure-ENG,Structure-address_Adresse-du-structure-FRA,City-Ville,Province-Code_Code-de-province,Province-territory_Province-territoire-ENG,Province-territory_Province-territoire-FRA,Postal-code_Code-postal,Structure-condition_condition-de-la-structure-ENG,Structure-condition_condition-de-la-structure-FRA,Property-condition_condition-du-bien-ENG,Property-condition_condition-du-bien-FRA,Heritage-designation-type_Type-de-désignation,Heritage-designation_Désignation-ENG,Heritage-designation_Désignation-FRA,Interest-Type_Type-de-propriété-ENG,Interest-Type_Type-de-propriété-FRA
2019-2020,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Good,Bonne,Good,Bonne,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200002-101-20000308,55712,055712,"Dominion Public Site, Halifax","Site public Dominion, Halifax","Dominion Public Building","Édifice public Dominion","1713 Bedford Row","1713, Bedford Row",Halifax,NS,"Nova Scotia",Nouvelle-Écosse,"B3J 1T3",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Poor,"Piètre qualité",Poor,"Piètre qualité",300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2020-2021,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2021-2022,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2022-2023,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2023-2024,P200008-101-20000318,03289,003289,"Site GC - New Glasgow","Site GC - New Glasgow","GC Building - New Glasgow","Édifice GC - New Glasgow","340 East River Road","340, rue East River","New Glascow",NS,"Nova Scotia",Nouvelle-Écosse,"B2H 3P0",Fair,Passable,Fair,Passable,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
2019-2020,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P200013-101-20000327,03710,003710,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney","Édifice GC - Sydney","49 Dorchester Street","49, rue Dorchester",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 5Z2",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2020-2021,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Fair,Passable,Fair,Passable,500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2021-2022,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2022-2023,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2023-2024,P200015-101-20000331,03711,003711,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Manpower","Édifice GC - Édifice de la Main-d'oeuvre de Sydney","308 George Street","308, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J8",Poor,"Piètre qualité",Poor,"Piètre qualité",500,"Not designated","Non désigné",Crown-owned,"Propriété de l'État"
2019-2020,P200018-101-20000336,03710,103056,"GC Site - Sydney Campus","Site GC - Campus de Sydney","GC Building - Sydney Arts Building","Édifice GC - Édifice des Arts de Sydney","196 George Street","196, rue George",Sydney,NS,"Nova Scotia",Nouvelle-Écosse,"B1P 1J3",Critical,Critique,Critical,Critique,300,Recognized,Reconnu,Crown-owned,"Propriété de l'État"
