Fscl-yr_Ex-fin,Project-nbr_No-de-projet,On-time_Respect-des-delais,On-budget_Respect-du-budget,On-scope_Respect-de-la-portee,Overall-project-health_Sante-globale-du-projet
2021-2022,2021-2022-00003,1,1,1,1
2021-2022,2021-2022-00004,1,1,1,1
2021-2022,2021-2022-00006,1,1,1,1
2021-2022,2021-2022-00007,2,1,1,2
2021-2022,2021-2022-00008,1,1,1,1
2021-2022,2021-2022-00012,1,1,1,1
2021-2022,2021-2022-00013,1,1,1,1
2021-2022,2021-2022-00014,1,0,0,1
2021-2022,2021-2022-00016,1,1,1,1
2021-2022,2021-2022-00017,1,1,1,1
2021-2022,2021-2022-00018,1,1,1,1
2021-2022,2021-2022-00021,1,1,1,1
2021-2022,2021-2022-00022,1,1,1,1
2021-2022,2021-2022-00023,1,1,1,1
2021-2022,2021-2022-00026,1,1,1,1
2021-2022,2021-2022-00029,1,1,1,1
2021-2022,2021-2022-00030,1,1,1,1
2021-2022,2021-2022-00031,2,1,2,2
2021-2022,2021-2022-00033,2,2,2,2
2021-2022,2021-2022-00034,1,1,1,1
2021-2022,2021-2022-00035,1,1,1,1
2021-2022,2021-2022-00036,2,1,1,2
2021-2022,2021-2022-00038,2,3,1,3
2021-2022,2021-2022-00043,1,1,1,1
2021-2022,2021-2022-00044,1,1,1,1
2021-2022,2021-2022-00045,1,1,1,1
2021-2022,2021-2022-00046,1,1,1,1
2021-2022,2021-2022-00048,1,1,1,1
2021-2022,2021-2022-00049,3,2,3,3
2021-2022,2021-2022-00053,1,1,1,1
2021-2022,2021-2022-00054,1,1,1,1
2021-2022,2021-2022-00055,1,1,1,1
2021-2022,2021-2022-00056,2,1,1,2
2021-2022,2021-2022-00057,1,1,1,1
2021-2022,2021-2022-00058,2,1,1,2
2021-2022,2021-2022-00059,1,1,1,1
2021-2022,2021-2022-00060,2,1,1,2
2021-2022,2021-2022-00061,1,1,1,1
2021-2022,2021-2022-00064,3,1,2,3
2021-2022,2021-2022-00069,1,1,1,1
2021-2022,2021-2022-00070,1,1,1,1
2021-2022,2021-2022-00071,1,1,1,1
2021-2022,2021-2022-00072,1,1,1,1
2021-2022,2021-2022-00074,1,1,1,1
2021-2022,2021-2022-00075,1,1,0,1
2021-2022,2021-2022-00076,1,1,1,1
2021-2022,2021-2022-00077,1,1,1,1
2021-2022,2021-2022-00078,1,1,1,1
2021-2022,2021-2022-00080,2,2,2,2
2021-2022,2021-2022-00081,1,1,1,1
2021-2022,2021-2022-00082,1,1,1,1
2021-2022,2021-2022-00083,1,1,1,1
2021-2022,2021-2022-00084,1,1,1,1
2021-2022,2021-2022-00085,1,1,1,1
2021-2022,2021-2022-00086,2,1,1,2
2021-2022,2021-2022-00087,1,1,1,1
2021-2022,2021-2022-00089,1,1,1,1
2021-2022,2021-2022-00093,1,1,1,1
2021-2022,2021-2022-00094,2,1,1,2
2021-2022,2021-2022-00095,1,1,2,2
2021-2022,2021-2022-00097,1,1,1,1
2021-2022,2021-2022-00098,2,1,1,2
2021-2022,2021-2022-00099,1,1,1,1
2021-2022,2021-2022-00100,2,1,1,2
2021-2022,2021-2022-00105,2,1,3,3
2021-2022,2021-2022-00106,1,1,1,1
2021-2022,2021-2022-00110,1,1,1,1
2021-2022,2021-2022-00111,2,1,1,2
2021-2022,2021-2022-00112,1,1,1,1
2021-2022,2021-2022-00113,1,1,1,1
2021-2022,2021-2022-00114,1,1,1,1
2021-2022,2021-2022-00115,2,3,1,3
2021-2022,2021-2022-00116,1,1,1,1
2021-2022,2021-2022-00117,1,1,1,1
2021-2022,2021-2022-00118,2,1,1,2
2021-2022,2021-2022-00119,1,1,1,1
2021-2022,2021-2022-00120,2,2,2,2
2021-2022,2021-2022-00121,1,1,1,1
2021-2022,2021-2022-00122,1,1,1,1
2021-2022,2021-2022-00123,1,1,1,1
2021-2022,2021-2022-00124,1,1,1,1
2021-2022,2021-2022-00125,1,1,1,1
2021-2022,2021-2022-00126,1,1,1,1
2021-2022,2021-2022-00127,1,1,1,1
2021-2022,2021-2022-00128,1,3,0,3
2021-2022,2021-2022-00129,3,1,1,3
